epoch,accuracy,loss,val_accuracy,val_loss
0,0.3645833432674408,13.64173412322998,0.6041666865348816,2.0259339809417725
1,0.7291666865348816,0.9560936093330383,0.7083333134651184,0.9816740155220032
2,0.734375,0.8775622248649597,0.7083333134651184,0.8539333939552307
3,0.734375,0.8195382952690125,0.7291666865348816,0.8003737330436707
4,0.734375,0.7770112156867981,0.7291666865348816,0.7626702189445496
5,0.734375,0.7433779835700989,0.7291666865348816,0.734126627445221
6,0.734375,0.7187640070915222,0.7291666865348816,0.7132346034049988
7,0.734375,0.6990140080451965,0.7291666865348816,0.6965286135673523
8,0.734375,0.684668242931366,0.7291666865348816,0.6833400726318359
9,0.734375,0.6731570363044739,0.7291666865348816,0.6727678179740906
10,0.734375,0.6617011427879333,0.7291666865348816,0.6635599732398987
11,0.734375,0.6537489295005798,0.7291666865348816,0.656004786491394
12,0.734375,0.6471973061561584,0.7291666865348816,0.6496002674102783
13,0.734375,0.6404408812522888,0.7291666865348816,0.6439986824989319
14,0.734375,0.635780930519104,0.7291666865348816,0.6391699314117432
15,0.734375,0.6314852237701416,0.7291666865348816,0.6351239085197449
16,0.734375,0.6269996762275696,0.7291666865348816,0.6313266158103943
17,0.734375,0.6237740516662598,0.7291666865348816,0.6280505061149597
18,0.734375,0.620274543762207,0.7291666865348816,0.6251018643379211
19,0.734375,0.617794930934906,0.7291666865348816,0.6225112080574036
20,0.734375,0.615386962890625,0.7291666865348816,0.6201920509338379
21,0.734375,0.614005446434021,0.7291666865348816,0.6180747151374817
22,0.734375,0.6111714243888855,0.7291666865348816,0.6161278486251831
23,0.734375,0.609718382358551,0.7291666865348816,0.614493191242218
24,0.734375,0.6077156066894531,0.7291666865348816,0.6130344271659851
25,0.734375,0.6063531041145325,0.7291666865348816,0.6115201115608215
26,0.734375,0.6053575873374939,0.7291666865348816,0.6107004284858704
27,0.734375,0.6038662791252136,0.7291666865348816,0.6092500686645508
28,0.734375,0.6024887561798096,0.7291666865348816,0.6081268191337585
29,0.734375,0.602226197719574,0.7291666865348816,0.6072507500648499
30,0.734375,0.6000829339027405,0.7291666865348816,0.6058077216148376
31,0.734375,0.6002486944198608,0.7291666865348816,0.6052494049072266
32,0.734375,0.5997263193130493,0.7291666865348816,0.6039947271347046
33,0.734375,0.5978103876113892,0.7291666865348816,0.6032425165176392
34,0.734375,0.5978620648384094,0.7291666865348816,0.6030460000038147
35,0.734375,0.596441924571991,0.7291666865348816,0.6018550395965576
36,0.734375,0.5958502888679504,0.7291666865348816,0.6013033986091614
37,0.734375,0.5952354073524475,0.7291666865348816,0.6010310053825378
38,0.734375,0.5948916077613831,0.7291666865348816,0.6002237796783447
39,0.734375,0.5939437747001648,0.7291666865348816,0.599655270576477
40,0.734375,0.5935296416282654,0.7291666865348816,0.5992462038993835
41,0.734375,0.5929686427116394,0.7291666865348816,0.5987294912338257
42,0.734375,0.5921444296836853,0.7291666865348816,0.5980880260467529
43,0.734375,0.5923329591751099,0.7291666865348816,0.5976076722145081
44,0.734375,0.5917288064956665,0.7291666865348816,0.5971969366073608
