ca,choice,cp,exang,fbs,k,p,restecg,scaler,scaling,score,sex,slope,thal
0,3,0,0,0,12,0.7000000000000001,1,max_abs,1,0.8852459020000001,0,1,1
0,3,0,0,1,19,1.0999999999999999,0,max_abs,1,0.8852459020000001,0,0,1
0,0,0,0,1,14,-1.1,0,max_abs,1,0.8852459020000001,0,1,1
1,0,1,0,0,15,-1.1,0,max_abs,1,0.8852459020000001,0,0,1
0,0,1,0,0,19,-1.1,0,max_abs,1,0.8852459020000001,0,1,1
0,3,1,1,0,15,2.1,0,max_abs,1,0.8852459020000001,0,0,1
0,3,1,0,0,7,1.2,1,max_abs,1,0.8852459020000001,0,1,1
1,3,1,0,0,14,2.3,1,max_abs,1,0.8852459020000001,0,1,1
0,0,1,1,0,14,-1.1,1,max_abs,1,0.8852459020000001,0,0,1
0,1,1,1,0,5,-1.1,1,max_abs,1,0.8852459020000001,0,1,1
0,3,1,0,1,13,1.5999999999999999,0,max_abs,1,0.8852459020000001,0,0,0
0,0,1,0,1,11,-1.1,0,max_abs,1,0.8852459020000001,0,1,1
1,3,1,0,1,17,2.6999999999999997,0,max_abs,1,0.8852459020000001,0,1,1
0,3,1,1,1,11,0.7000000000000001,0,max_abs,1,0.8852459020000001,0,0,0
0,3,1,1,1,15,2.1,0,max_abs,1,0.8852459020000001,0,0,1
0,3,1,1,1,12,1.0999999999999999,0,max_abs,1,0.8852459020000001,0,1,0
1,3,1,1,1,7,2.1,0,max_abs,1,0.8852459020000001,0,1,1
0,0,1,0,1,10,-1.1,1,max_abs,1,0.8852459020000001,0,1,1
